Firm_ID;BenefitProgramPeriod;TotalSpent;TotalPurchases;AvgSpentOnTransaction
5561862;Never in program;1582402,00;7;226057,4285
16958946;After;120743,00;4;30185,75
98658;Never in program;7145447,00;23;310671,6086
2379379;Never in program;180126,00;5;36025,20
5129822;Never in program;434053,00;9;48228,1111
1265285;Never in program;827971,00;6;137995,1666
2074876;Never in program;46859,00;2;23429,50
2372945;Never in program;4096358,00;69;59367,5072
11317;Never in program;6568931,00;31;211901,00
2229866;Never in program;45206,00;1;45206,00
46715;Never in program;19150532,00;43;445361,2093
4661315;Never in program;375685,00;4;93921,25
1809105;Never in program;47722344,00;98;486962,6938
1447939;Never in program;9184343,00;41;224008,3658
1719067;Never in program;3522323,00;21;167729,6666
2462340;Never in program;13842837,00;193;71724,544
5208985;Never in program;2427414,00;23;105539,7391
3021400;Never in program;184936,00;4;46234,00
306059;Never in program;25950,00;1;25950,00
5121018;Never in program;1626878,00;35;46482,2285
5855028;Never in program;872388,00;13;67106,7692
3241539;Never in program;593738,00;4;148434,50
2200496;Never in program;2444304,00;18;135794,6666
1716555;Never in program;2573588,00;9;285954,2222
1813578;Never in program;783929,00;8;97991,125
4370559;Never in program;670897,00;16;41931,0625
3211122;Never in program;518828,00;14;37059,1428
3853646;Never in program;4520526,00;9;502280,6666
1894607;Never in program;1383882,00;6;230647,00
1354342;Never in program;5021246,00;89;56418,4943
2695177;Never in program;9702482,00;85;114146,847
389971;Never in program;1222115,00;4;305528,75
5579546;Never in program;2042604,00;16;127662,75
4616227;Never in program;18091,00;1;18091,00
2606029;Never in program;2190215,00;34;64418,0882
357182;Never in program;231403,00;4;57850,75
1640722;Never in program;1159007,00;3;386335,6666
37242;Never in program;1517493,00;17;89264,2941
1664835;Never in program;852802,00;7;121828,8571
5832018;Never in program;1524771,00;5;304954,20
522072;Never in program;21627852,00;77;280881,1948
2802929;Never in program;134132,00;1;134132,00
76942;Never in program;8255849,00;47;175656,3617
2385825;Never in program;3228851,00;25;129154,04
1855061;Never in program;4133559,00;72;57410,5416
3517480;Never in program;583160,00;7;83308,5714
59595;Never in program;2328512,00;8;291064,00
446816;Never in program;1649428,00;48;34363,0833
1232591;Never in program;1215208,00;2;607604,00
4093931;Never in program;1157660,00;24;48235,8333
2757583;Never in program;68263,00;2;34131,50
2104762;Never in program;98058,00;2;49029,00
3000095;Never in program;557890,00;20;27894,50
1420794;Never in program;558040,00;9;62004,4444
830725;Never in program;3717443,00;38;97827,4473
2260413;Never in program;206420,00;5;41284,00
446982;Never in program;5721904,00;50;114438,08
2671296;Never in program;4589034,00;31;148033,3548
4609455;Never in program;5423897,00;42;129140,4047
3115726;Never in program;1746833,00;5;349366,60
4179513;Never in program;1500507,00;15;100033,80
3670814;Never in program;1107626,00;13;85202,00
3814865;Never in program;230825,00;4;57706,25
3178792;Never in program;3505168,00;29;120867,862
989625;Never in program;1463634,00;16;91477,125
5314568;Never in program;5059360,00;50;101187,20
1200913;Never in program;23977242,00;37;648033,5675
